Drug Name,Side Effects,Age Category,Medical Condition
meprobamate,"Drowsiness, dizziness, addiction",Adult,Treatment for anxiety and as a muscle relaxant
nefazodone,"Drowsiness, blurred vision, low blood pressure",Adult,Treatment for depression
Tranxene T-Tab,"Drowsiness, dizziness, addiction",Adult,Treatment for anxiety and alcohol withdrawal
trifluoperazine,"Drowsiness, blurred vision, muscle stiffness",Adult,Treatment for schizophrenia and other psychotic disorders
vilazodone,"Nausea, diarrhea, insomnia",Adult,Treatment for depression
Singulair,"Stomach pain, headache, allergic reactions",All,"Asthma, allergies"
montelukast,"Stomach pain, headache, allergic reactions",All,"Asthma, allergies"
prednisone,"Stomach upset, headache, dizziness",All,Inflammatory conditions
Trelegy Ellipta,"Upper respiratory tract infection, headache, oral candidiasis",Adult,COPD
Fasenra,"Injection site reactions, headache, hypersensitivity reactions",Adult,Severe eosinophilic asthma
Nucala,"Injection site reactions, headache, back pain",Adult,Severe eosinophilic asthma
benralizumab,"Injection site reactions, headache, pharyngitis",Adult,Severe asthma
fluticasone / umeclidinium / vilanterol,"Pneumonia, headache, bronchitis",Adult,COPD
mepolizumab,"Injection site reactions, headache, back pain",Adult,Severe eosinophilic asthma
tezepelumab,"Injection site reactions, headache, pharyngitis",Adult,Severe asthma
Tezspire,"Upper respiratory tract infection, headache, bronchitis",Adult,Asthma
Dulera,"Upper respiratory tract infection, headache, oral candidiasis",Adult,Asthma
Atrovent,"Dry mouth, cough, headache, nausea",All,"COPD, asthma"
Breo Ellipta,"Upper respiratory tract infection, headache, bronchitis",Adult,COPD
ipratropium,"Dry mouth, cough, headache, nausea",All,"COPD, asthma"
methylprednisolone,"Stomach upset, headache, dizziness",All,Inflammatory conditions
Atrovent HFA,"Headache, bronchitis, upper respiratory tract infection",All,"COPD, asthma"
dexamethasone,"Headache, dizziness, stomach upset",All,Inflammatory conditions
Alvesco,"Headache, throat irritation, upper respiratory tract infection",Adult,Asthma
levalbuterol,"Nervousness, tremors, headache",All,Asthma
Ipratropium Inhalation Solution,"Dry mouth, cough, headache, nausea",All,"COPD, asthma"
Rayos,"Stomach upset, headache, dizziness",All,Inflammatory conditions
fluticasone / vilanterol,"Upper respiratory tract infection, headache, bronchitis",Adult,"COPD, asthma"
formoterol / mometasone,"Upper respiratory tract infection, headache, bronchitis",Adult,"Asthma, COPD"
Medrol,"Stomach upset, headache, dizziness",All,Inflammatory conditions
MethylPREDNISolone Dose Pack,"Stomach upset, headache, dizziness",All,Inflammatory conditions
triamcinolone,"Skin irritation, itching, burning",All,Inflammatory conditions
Dexamethasone Intensol,"Headache, dizziness, stomach upset",All,Inflammatory conditions
Kenalog-40,"Injection site reactions, headache, allergic reactions",All,Inflammatory conditions
Medrol Dosepak,"Stomach upset, headache, dizziness",All,Inflammatory conditions
Depo-Medrol,"Injection site reactions, headache, allergic reactions",All,Inflammatory conditions
Solu-Medrol,"Injection site reactions, headache, allergic reactions",All,Inflammatory conditions
Xopenex,"Nervousness, tremors, headache",All,Asthma
Xopenex HFA,"Nervousness, tremors, headache",All,Asthma
caffeine,"Nervousness, increased heart rate, insomnia",All,"Stimulant, respiratory conditions"
ciclesonide,"Nosebleeds, headache, nasal irritation",All,"Allergic rhinitis, asthma"
De-Sone LA,"Stomach upset, headache, dizziness",All,Inflammatory conditions
Dxevo,"Stomach upset, headache, dizziness",All,Inflammatory conditions
dyphylline / guaifenesin,"Nausea, vomiting, headache",All,"Asthma, bronchitis"
Ipratropium Inhalation Aerosol,"Dry mouth, cough, headache, nausea",All,"COPD, asthma"
Cinqair,"Headache, fatigue, back pain, nausea",Adult,Asthma
reslizumab,"Fatigue, headache, injection site reactions",Adult,Severe asthma
salbutamol,"Nervousness, tremors, increased heart rate",All,"Asthma, bronchospasm"
Xopenex Concentrate,"Nervousness, tremors, headache",All,Asthma
Difil-G Forte,"Upset stomach, diarrhea, headache",All,Nutritional supplement
Lamictal,"Dizziness, headache, nausea",All,"Seizure disorders, bipolar disorder"
Latuda,"Drowsiness, nausea, restlessness",Adult,"Schizophrenia, bipolar disorder"
Seroquel,"Drowsiness, weight gain, dry mouth",Adult,"Schizophrenia, bipolar disorder"
Abilify,"Nausea, headache, dizziness",Adult,"Schizophrenia, bipolar disorder, depression"
topiramate,"Fatigue, dizziness, loss of appetite",All,"Epilepsy, migraines, weight loss"
Vraylar,"Nausea, constipation, weight gain",Adult,"Schizophrenia, bipolar disorder"
lithium,"Hand tremors, increased thirst, frequent urination",All,Bipolar disorder
lurasidone,"Drowsiness, nausea, weight gain",Adult,"Schizophrenia, bipolar disorder"
Abilify Maintena,"Injection site reactions, weight gain, headache",Adult,"Schizophrenia, bipolar disorder"
cariprazine,"Nausea, constipation, restlessness",Adult,"Schizophrenia, bipolar disorder"
Caplyta,"Nausea, drowsiness, dry mouth",Adult,Schizophrenia
lumateperone,"Sleepiness, dry mouth, weight gain",Adult,Schizophrenia
Lybalvi,"Drowsiness, weight gain, dry mouth",Adult,"Schizophrenia, bipolar disorder"
quetiapine,"Drowsiness, dry mouth, weight gain",Adult,"Schizophrenia, bipolar disorder, depression"
Depakote,"Nausea, tremors, weight gain",All,"Seizure disorders, bipolar disorder"
Seroquel XR,"Drowsiness, dry mouth, weight gain",Adult,"Schizophrenia, bipolar disorder"
divalproex sodium,"Nausea, tremors, weight gain",All,"Seizure disorders, bipolar disorder"
Risperdal,"Weight gain, drowsiness, dizziness",All,"Schizophrenia, bipolar disorder"
Geodon,"Drowsiness, headache, nausea",Adult,"Schizophrenia, bipolar disorder"
sertraline,"Nausea, diarrhea, sexual dysfunction",All,"Depression, anxiety disorders"
Zyprexa,"Weight gain, drowsiness, constipation",Adult,"Schizophrenia, bipolar disorder"
aripiprazole,"Nausea, vomiting, restlessness",Adult,"Schizophrenia, bipolar disorder, depression"
Depakote ER,"Nausea, tremors, weight gain",All,"Seizure disorders, bipolar disorder"
olanzapine,"Weight gain, drowsiness, constipation",Adult,"Schizophrenia, bipolar disorder"
Saphris,"Drowsiness, headache, nausea",Adult,"Schizophrenia, bipolar disorder"
citalopram,"Nausea, dry mouth, drowsiness",All,"Depression, anxiety disorders"
carbamazepine,"Dizziness, drowsiness, nausea",All,"Seizure disorders, bipolar disorder"
ziprasidone,"Drowsiness, nausea, constipation",Adult,"Schizophrenia, bipolar disorder"
Symbyax,"Weight gain, drowsiness, dry mouth",Adult,"Bipolar disorder, treatment-resistant depression"
valproic acid,"Nausea, tremors, weight gain",All,"Seizure disorders, bipolar disorder"
fluoxetine / olanzapine,"Weight gain, drowsiness, dry mouth",Adult,"Bipolar disorder, treatment-resistant depression"
Lamictal ODT,"Dizziness, headache, nausea",All,"Seizure disorders, bipolar disorder"
levetiracetam,"Drowsiness, weakness, mood changes",All,Seizure disorders
Lithobid,"Hand tremors, increased thirst, frequent urination",All,Bipolar disorder
Zyprexa Zydis,"Weight gain, drowsiness, constipation",Adult,"Schizophrenia, bipolar disorder"
asenapine,"Drowsiness, weight gain, dizziness",Adult,"Schizophrenia, bipolar disorder"
Equetro,"Nausea, drowsiness, dizziness",Adult,"Bipolar disorder, seizure disorders"
iloperidone,"Drowsiness, dry mouth, weight gain",Adult,Schizophrenia
Lamictal CD,"Dizziness, headache, nausea",All,"Seizure disorders, bipolar disorder"
paliperidone,"Drowsiness, weight gain, restlessness",Adult,Schizophrenia
perphenazine,"Drowsiness, blurred vision, dry mouth",Adult,Schizophrenia
Risperdal Consta,"Weight gain, drowsiness, constipation",Adult,"Schizophrenia, bipolar disorder"
tiagabine,"Dizziness, drowsiness, tremors",Adult,Seizure disorders
Abilify MyCite,"Nausea, headache, weight gain",Adult,"Schizophrenia, bipolar disorder"
Depakote Sprinkles,"Nausea, tremors, weight gain",All,"Seizure disorders, bipolar disorder"
Zyprexa Intramuscular,"Drowsiness, weight gain, dizziness",Adult,"Schizophrenia, bipolar disorder"
olanzapine / samidorphan,"Weight gain, drowsiness, constipation",Adult,"Schizophrenia, bipolar disorder"
Mucinex,"Nausea, stomach pain, dizziness",Adult,Relief of cough and congestion
azithromycin,"Nausea, diarrhea, stomach pain",All,Bacterial infections
Azithromycin Dose Pack,"Nausea, diarrhea, stomach pain",All,Bacterial infections
amoxicillin,"Nausea, diarrhea, skin rash",All,Bacterial infections
guaifenesin,"Nausea, drowsiness, dizziness",All,Relief of cough and congestion
levofloxacin,"Nausea, diarrhea, dizziness",All,Bacterial infections
Augmentin,"Nausea, diarrhea, skin rash",All,Bacterial infections
Levaquin,"Nausea, diarrhea, dizziness",All,Bacterial infections
Zithromax,"Nausea, diarrhea, stomach pain",All,Bacterial infections
amoxicillin / clavulanate,"Nausea, diarrhea, skin rash",All,Bacterial infections
clarithromycin,"Nausea, diarrhea, stomach pain",All,Bacterial infections
cefdinir,"Diarrhea, nausea, abdominal pain",All,Bacterial infections
ciprofloxacin,"Nausea, diarrhea, dizziness",All,Bacterial infections
Amoxil,"Nausea, diarrhea, skin rash",All,Bacterial infections
cefuroxime,"Diarrhea, nausea, abdominal pain",All,Bacterial infections
Avelox,"Nausea, diarrhea, dizziness",All,Bacterial infections
Cipro,"Nausea, diarrhea, dizziness",All,Bacterial infections
erythromycin,"Nausea, diarrhea, stomach pain",All,Bacterial infections
Ceftin,"Diarrhea, nausea, abdominal pain",All,Bacterial infections
ceftriaxone,"Diarrhea, nausea, abdominal pain",All,Bacterial infections
Apo-Amoxi,"Nausea, diarrhea, skin rash",All,Bacterial infections
beclomethasone,"Nosebleeds, sore throat, nasal irritation",All,"Allergic rhinitis, asthma"
moxifloxacin,"Nausea, diarrhea, dizziness",All,Bacterial infections
cefixime,"Diarrhea, nausea, abdominal pain",All,Bacterial infections
Mucinex Maximum Strength,"Nausea, drowsiness, dizziness",All,Relief of cough and congestion
Cipro I.V.,"Nausea, diarrhea, dizziness",All,Bacterial infections
Cipro XR,"Nausea, diarrhea, dizziness",All,Bacterial infections
Robafen,"Drowsiness, dizziness, dry mouth",All,Relief of cough and congestion
Augmentin XR,"Nausea, diarrhea, skin rash",All,Bacterial infections
Biaxin XL,"Nausea, diarrhea, stomach pain",All,Bacterial infections
cefpodoxime,"Diarrhea, nausea, abdominal pain",All,Bacterial infections
cefprozil,"Diarrhea, nausea, abdominal pain",All,Bacterial infections
Ery-Tab,"Nausea, diarrhea, stomach pain",All,Bacterial infections
Guaifenex G,"Drowsiness, dizziness, dry mouth",All,Relief of cough and congestion
Suprax,"Diarrhea, nausea, abdominal pain",All,Bacterial infections
Altarussin,"Drowsiness, dizziness, dry mouth",All,Relief of cough and congestion
Amibid LA,"Drowsiness, dizziness, dry mouth",All,Relief of cough and congestion
Amoclan,"Nausea, diarrhea, skin rash",All,Bacterial infections
ampicillin,"Nausea, diarrhea, skin rash",All,Bacterial infections
Balminil Expectorant,"Drowsiness, dizziness, dry mouth",All,Relief of cough and congestion
Benylin E,"Drowsiness, dizziness, dry mouth",All,Relief of cough and congestion
Bidex-400,"Drowsiness, dizziness, dry mouth",All,Relief of cough and congestion
Cefzil,"Diarrhea, nausea, abdominal pain",All,Bacterial infections
dicloxacillin,"Nausea, diarrhea, skin rash",All,Bacterial infections
Drituss G,"Drowsiness, dizziness, dry mouth",All,Relief of cough and congestion
E.E.S. Granules,"Nausea, diarrhea, stomach pain",All,Bacterial infections
Eryc,"Nausea, diarrhea, stomach pain",All,Bacterial infections
EryPed,"Nausea, diarrhea, stomach pain",All,Bacterial infections
Erythrocin,"Nausea, diarrhea, stomach pain",All,Bacterial infections
Erythrocin Lactobionate,"Nausea, diarrhea, stomach pain",All,Bacterial infections
Fenesin IR,"Drowsiness, dizziness, dry mouth",All,Relief of cough and congestion
Floxin,"Nausea, diarrhea, dizziness",All,Bacterial infections
gemifloxacin,"Nausea, diarrhea, headache",All,Bacterial infections
Guaifenex LA,"Drowsiness, dizziness, dry mouth",All,Relief of cough and congestion
Guiatuss,"Drowsiness, dizziness, dry mouth",All,Relief of cough and congestion
Hytuss,"Drowsiness, dizziness, dry mouth",All,Relief of cough and congestion
Mucinex for Kids,"Nausea, diarrhea, stomach pain",Child,Relief of cough and congestion
ofloxacin,"Nausea, diarrhea, dizziness",All,Bacterial infections
PCE Dispertab,"Nausea, diarrhea, stomach pain",All,Bacterial infections
Scot-Tussin Expectorant,"Drowsiness, dizziness, dry mouth",All,Relief of cough and congestion
Sulfatrim Pediatric,"Nausea, diarrhea, skin rash",Child,Bacterial infections
Tussin Expectorant,"Drowsiness, dizziness, dry mouth",All,Relief of cough and congestion
Xpect,"Drowsiness, dizziness, dry mouth",All,Relief of cough and congestion
Zinacef,"Nausea, diarrhea, skin rash",All,Bacterial infections
Avelox I.V.,"Nausea, diarrhea, headache",All,Bacterial infections
cefaclor,"Diarrhea, nausea, stomach pain",All,Bacterial infections
cilastatin / imipenem,"Diarrhea, nausea, stomach pain",All,Bacterial infections
Dycill,"Nausea, diarrhea, skin rash",All,Bacterial infections
Dynapen,"Diarrhea, nausea, stomach pain",All,Bacterial infections
Factive,"Nausea, diarrhea, headache",All,Bacterial infections
Primaxin IV,"Diarrhea, nausea, vomiting",All,Bacterial infections
carboplatin,"Nausea, vomiting, low blood cell count",All,Cancer treatment
Leukeran,"Nausea, vomiting, hair loss",All,Cancer treatment
chlorambucil,"Nausea, vomiting, hair loss",All,Cancer treatment
fluorouracil,"Nausea, vomiting, diarrhea",All,Cancer treatment
doxorubicin,"Nausea, vomiting, hair loss",All,Cancer treatment
etoposide,"Nausea, vomiting, hair loss",All,Cancer treatment
cyclophosphamide,"Nausea, vomiting, hair loss",All,Cancer treatment
vincristine,"Nausea, vomiting, hair loss",All,Cancer treatment
Cosmegen,"Nausea, vomiting, hair loss",All,Cancer treatment
Etopophos,"Nausea, vomiting, hair loss",All,Cancer treatment
Ifex,"Nausea, vomiting, hair loss",All,Cancer treatment
Toposar,"Nausea, vomiting, hair loss",All,Cancer treatment
vinblastine,"Nausea, vomiting, hair loss",All,Cancer treatment
Hycamtin,"Nausea, vomiting, hair loss",All,Cancer treatment
ifosfamide,"Nausea, vomiting, hair loss",All,Cancer treatment
dactinomycin,"Nausea, vomiting, hair loss",All,Cancer treatment
fludarabine,"Nausea, vomiting, low blood cell count",All,Cancer treatment
Tepadina,"Nausea, vomiting, hair loss",All,Cancer treatment
thiotepa,"Nausea, vomiting, hair loss",All,Cancer treatment
topotecan,"Nausea, vomiting, low blood cell count",All,Cancer treatment
atorvastatin,"Muscle pain, liver problems",Adult,Cholesterol management
simvastatin,"Muscle pain, liver problems",Adult,Cholesterol management
Lipitor,"Muscle pain, liver problems",Adult,Cholesterol management
Zetia,"Diarrhea, stomach pain",Adult,Cholesterol management
ezetimibe,"Diarrhea, stomach pain",Adult,Cholesterol management
Crestor,"Muscle pain, liver problems",Adult,Cholesterol management
Repatha,Injection site reactions,Adult,Cholesterol management
alirocumab,Injection site reactions,Adult,Cholesterol management
evolocumab,Injection site reactions,Adult,Cholesterol management
Praluent,Injection site reactions,Adult,Cholesterol management
rosuvastatin,"Muscle pain, liver problems",Adult,Cholesterol management
pravastatin,"Muscle pain, liver problems",Adult,Cholesterol management
lovastatin,"Muscle pain, liver problems",Adult,Cholesterol management
Zocor,"Muscle pain, liver problems",Adult,Cholesterol management
gemfibrozil,"Stomach pain, gallstones",Adult,Cholesterol management
Vytorin,"Muscle pain, liver problems",Adult,Cholesterol management
Livalo,"Muscle pain, liver problems",Adult,Cholesterol management
niacin,"Flushing, itching, upset stomach",Adult,Cholesterol management
Altocor,"Muscle pain, liver problems",Adult,Cholesterol management
Niaspan,"Flushing, itching, upset stomach",Adult,Cholesterol management
Welchol,"Constipation, stomach pain",Adult,Cholesterol management
Altoprev,"Muscle pain, liver problems",Adult,Cholesterol management
ezetimibe / simvastatin,"Muscle pain, liver problems",Adult,Cholesterol management
fenofibric acid,"Stomach pain, gallstones",Adult,Cholesterol management
Slo-Niacin,"Flushing, itching, upset stomach",Adult,Cholesterol management
colesevelam,"Constipation, stomach pain",Adult,Cholesterol management
Ezallor,"Muscle pain, liver problems",Adult,Cholesterol management
FloLipid,"Muscle pain, liver problems",Adult,Cholesterol management
Lopid,"Stomach pain, gallstones",Adult,Cholesterol management
pitavastatin,"Muscle pain, liver problems",Adult,Cholesterol management
atorvastatin / ezetimibe,"Muscle pain, liver problems",Adult,Cholesterol management
fluvastatin,"Muscle pain, liver problems",Adult,Cholesterol management
Lescol XL,"Muscle pain, liver problems",Adult,Cholesterol management
mycophenolate mofetil,"Nausea, diarrhea, increased infection risk",Adult,Immunosuppressant
Niacor,"Flushing, itching, upset stomach",Adult,Cholesterol management
Trilipix,"Stomach pain, gallstones",Adult,Cholesterol management
ezetimibe / rosuvastatin,"Muscle pain, liver problems",Adult,Cholesterol management
Fibricor,Common side effects may occur,Adult,Lowering cholesterol and triglyceride levels
inclisiran,Common side effects may occur,Adult,Lowering LDL cholesterol levels
Juxtapid,Common side effects may occur,Adult,Reducing LDL cholesterol levels
Leqvio,Common side effects may occur,Adult,Lowering LDL cholesterol levels
lomitapide,Common side effects may occur,Adult,Lowering LDL cholesterol levels
Lypqozet,Common side effects may occur,Adult,Lowering LDL cholesterol and triglyceride levels
Roszet,Common side effects may occur,Adult,Lowering LDL cholesterol levels
Zypitamag,Common side effects may occur,Adult,Lowering LDL cholesterol levels
Benadryl,"Drowsiness, dry mouth, dizziness",All,"Allergy relief, cough and cold symptoms"
diphenhydramine,"Drowsiness, dry mouth, dizziness",All,"Allergy relief, cough and cold symptoms"
Vicks Nyquil D Cold and Flu Nighttime Relief,"Drowsiness, dry mouth, dizziness",Adult,Relief of cold and flu symptoms at night
Vicks NyQuil Cold & Flu Nighttime Relief,"Drowsiness, dry mouth, dizziness",Adult,Relief of cold and flu symptoms at night
chlorpheniramine,"Drowsiness, dry mouth, dizziness",All,"Allergy relief, cough and cold symptoms"
Coricidin HBP Cold & Flu,"Drowsiness, dry mouth, dizziness",Adult,Relief of cold and flu symptoms
Vicks DayQuil Severe Cold & Flu,"Drowsiness, dry mouth, dizziness",Adult,Relief of cold and flu symptoms
Benadryl Allergy,"Drowsiness, dry mouth, dizziness",All,Allergy relief
Vicks Dayquil Cold & Flu Relief,"Drowsiness, dry mouth, dizziness",Adult,Relief of cold and flu symptoms
Vicks NyQuil Severe Cold & Flu,"Drowsiness, dry mouth, dizziness",Adult,Relief of severe cold and flu symptoms
Promethazine DM,"Drowsiness, dry mouth, dizziness",Adult,"Relief of cough, cold, and allergy symptoms"
Tylenol Cold & Flu Severe,"Drowsiness, dry mouth, dizziness",Adult,Relief of severe cold and flu symptoms
Vicks VapoRub,Skin irritation,All,Topical ointment for cough and congestion relief
Coricidin HBP Maximum Strength Flu,"Drowsiness, dry mouth, dizziness",Adult,Relief of cold and flu symptoms (for high blood pressure patients)
Theraflu Nighttime Severe Cold & Cough,"Drowsiness, dry mouth, dizziness",Adult,Relief of severe cold and flu symptoms
acetaminophen / chlorpheniramine / phenylephrine,"Drowsiness, dry mouth, dizziness",Adult,Relief of cold and flu symptoms
Sudafed PE Cold & Cough,"Nervousness, dizziness, increased blood pressure",Adult,"Relief of nasal congestion, cough, and cold symptoms"
Banophen,"Drowsiness, dry mouth, dizziness",All,Allergy relief
Benadryl Allergy Plus Cold,"Drowsiness, dry mouth, dizziness",Adult,Allergy and cold symptom relief
pseudoephedrine / triprolidine,"Nervousness, dizziness, increased blood pressure",Adult,Relief of nasal congestion and allergic symptoms
Tussionex Pennkinetic,"Drowsiness, dry mouth, dizziness",Adult,Relief of cough and upper respiratory symptoms
Chlor-Trimeton,"Drowsiness, dry mouth, dizziness",All,Allergy relief
Diphedryl,"Drowsiness, dry mouth, dizziness",All,Allergy relief
Diphen,"Drowsiness, dry mouth, dizziness",All,Allergy relief
Complete Allergy Relief,"Drowsiness, dry mouth, dizziness",Adult,Allergy symptom relief
Tylenol Cold,"Drowsiness, dry mouth, dizziness",Adult,Relief of cold symptoms
Allermax,"Drowsiness, dry mouth, dizziness",Adult,Allergy relief
Bronkaid,"Nervousness, dizziness, increased heart rate",Adult,Relief of bronchial congestion and asthma symptoms
Dicopanol,"Drowsiness, dry mouth, dizziness",Adult,Relief of cough and allergy symptoms
Dytuss,"Drowsiness, dry mouth, dizziness",Adult,Relief of cough and congestion symptoms
Mucinex Fast-Max Night Time Cold & Flu,"Drowsiness, dry mouth, dizziness",Adult,Relief of cold and flu symptoms at night
Scot-Tussin Allergy,"Drowsiness, dry mouth, dizziness",Adult,Allergy symptom relief
Siladryl Allergy,"Drowsiness, dry mouth, dizziness",All,Allergy relief
Sudafed PE Sinus & Allergy,"Nervousness, dizziness, increased blood pressure",Adult,Relief of sinus congestion and allergy symptoms
Twilite,"Drowsiness, dry mouth, dizziness",Adult,Sleep aid
Tylenol Cold Multi-Symptom Severe,"Drowsiness, dry mouth, dizziness",Adult,Relief of severe cold symptoms
Valu-Dryl,"Drowsiness, dry mouth, dizziness",All,Allergy relief
Vanamine PD,"Drowsiness, dry mouth, dizziness",Adult,Cough and congestion relief
Virtussin DAC,"Drowsiness, dry mouth, dizziness",Adult,Cough relief and congestion
Benadryl Allergy Plus Sinus Headache,"Drowsiness, dry mouth, dizziness",Adult,Relief of sinus headache and allergy symptoms
Primatene,"Nervousness, increased heart rate, tremor",Adult,Relief of bronchial congestion and asthma symptoms
acetaminophen / dextromethorphan / doxylamine / pseudoephedrine,"Drowsiness, dry mouth, dizziness",Adult,Relief of cold symptoms
acetaminophen / dextromethorphan / guaifenesin / phenylephrine,"Drowsiness, dry mouth, dizziness",Adult,Relief of cold symptoms
acetaminophen / dextromethorphan / phenylephrine,"Drowsiness, dry mouth, dizziness",Adult,Relief of cold symptoms
Aller-Chlor,"Drowsiness, dry mouth, dizziness",All,Allergy relief
Allergy Relief,"Drowsiness, dry mouth, dizziness",All,Allergy relief
brompheniramine,"Drowsiness, dry mouth, dizziness",All,Allergy relief
Mucinex Fast-Max Severe Cold,"Drowsiness, dry mouth, dizziness",Adult,Relief of severe cold symptoms
Mucinex Fast-Max Severe Congestion & Cold,"Drowsiness, dry mouth, dizziness",Adult,Relief of severe congestion and cold symptoms
Sudafed PE Pressure+Pain+Cold,"Nervousness, dizziness, increased blood pressure",Adult,"Relief of sinus pressure, pain, and congestion"
Sudafed PE Severe Cold,"Nervousness, dizziness, increased blood pressure",Adult,Relief of severe cold symptoms
Tylenol Cold Max Day,"Drowsiness, dry mouth, dizziness",Adult,Relief of cold symptoms during the day
Vicks NyQuil Cold & Flu Nighttime Relief (Alcohol Free),"Drowsiness, dry mouth, dizziness",Adult,Relief of cold and flu symptoms at night
Wal-finate,"Drowsiness, dry mouth, dizziness",Adult,Allergy relief
acetaminophen / chlorpheniramine / dextromethorphan / pseudoephedrine,"Drowsiness, dry mouth, dizziness",Adult,Relief of cold and flu symptoms
acetaminophen / chlorpheniramine,"Drowsiness, dry mouth, dizziness",Adult,Relief of cold and allergy symptoms
Actifed Cold and Allergy,"Drowsiness, dry mouth, dizziness",Adult,Relief of cold and allergy symptoms
Advil Allergy Sinus,"Nausea, stomach pain, drowsiness",Adult,Relief of allergy and sinus symptoms
Alka-Seltzer Plus Cold Formula Sparkling Original Effervescent Tablets,"Upset stomach, heartburn, drowsiness",Adult,Relief of cold symptoms and pain
Aprodine,"Nervousness, increased heart rate, dizziness",Adult,Relief of nasal congestion and allergy symptoms
aspirin / chlorpheniramine / phenylephrine,"Nausea, stomach pain, drowsiness",Adult,Relief of cold symptoms and pain
C.P.M.,"Drowsiness, dry mouth, dizziness",Adult,Allergy relief
camphor / eucalyptus / menthol,"Skin irritation, rash, allergic reaction",All,Topical relief of cough and congestion
Cheratussin DAC,"Nausea, stomach pain, drowsiness",Adult,Relief of cough and congestion
Chlo-Amine,"Drowsiness, dry mouth, dizziness",Adult,Allergy relief
Chlor-Mal,"Drowsiness, dry mouth, dizziness",Adult,Allergy relief
chlorpheniramine / hydrocodone,"Drowsiness, dry mouth, dizziness",Adult,Relief of cough and allergy symptoms
chlorpheniramine / phenylephrine,"Drowsiness, dry mouth, dizziness",Adult,Relief of cold and allergy symptoms
ChlorTan,"Drowsiness, dry mouth, dizziness",Adult,Allergy relief
codeine / guaifenesin / pseudoephedrine,"Nausea, stomach pain, drowsiness",Adult,"Relief of cough, congestion, and allergy symptoms"
Coricidin HBP Nighttime Multi-Symptom Cold,"Drowsiness, dry mouth, dizziness",Adult,Relief of nighttime cold symptoms
dextromethorphan / promethazine,"Drowsiness, dry mouth, dizziness",Adult,Relief of cough and allergy symptoms
diphenhydramine / phenylephrine,"Drowsiness, dry mouth, dizziness",Adult,Relief of cold and allergy symptoms
Drixoral Cold and Allergy,"Drowsiness, dry mouth, dizziness",Adult,Relief of cold and allergy symptoms
Ed-Chlortan,"Drowsiness, dry mouth, dizziness",Adult,Relief of allergy symptoms
Ed A-Hist,"Drowsiness, dry mouth, dizziness",Adult,Relief of allergy symptoms
Ed ChlorPed,"Drowsiness, dry mouth, dizziness",Child,Relief of allergy symptoms
Ed Chlor Ped Jr.,"Drowsiness, dry mouth, dizziness",Child,Relief of allergy symptoms
ephedrine / guaifenesin,"Nervousness, increased heart rate, dizziness",Adult,Relief of nasal congestion and cough
Robitussin Peak Cold Nighttime Nasal Relief,"Drowsiness, dry mouth, dizziness",Adult,Relief of nighttime nasal congestion
Theraflu Daytime Severe Cold & Cough,"Nausea, stomach pain, drowsiness",Adult,Relief of daytime cold and cough symptoms
TussiCaps,"Drowsiness, dry mouth, dizziness",Adult,Relief of cough and congestion
Tylenol Cold Multi-Symptom Nighttime,"Drowsiness, dry mouth, dizziness",Adult,Relief of nighttime cold symptoms
A-Phedrin,"Nervousness, increased heart rate, dizziness",Adult,Relief of nasal congestion
acetaminophen / chlorpheniramine / dextromethorphan / phenylephrine,"Drowsiness, dry mouth, dizziness",Adult,Relief of cold and allergy symptoms
acetaminophen / dextromethorphan / doxylamine / phenylephrine,"Drowsiness, dry mouth, dizziness",Adult,Relief of cold symptoms and sleep aid
acetaminophen / dextromethorphan / doxylamine,"Drowsiness, dry mouth, dizziness",Adult,Relief of cold symptoms and sleep aid
acetaminophen / dextromethorphan / guaifenesin / pseudoephedrine,"Nausea, stomach pain, drowsiness",Adult,Relief of cold and congestion symptoms
acetaminophen / dextromethorphan / pseudoephedrine,"Nausea, stomach pain, drowsiness",Adult,Relief of cold and congestion symptoms
acetaminophen / diphenhydramine / phenylephrine,"Drowsiness, dry mouth, dizziness",Adult,Relief of cold symptoms and allergy symptoms
acetaminophen / pheniramine / phenylephrine,"Drowsiness, dry mouth, dizziness",Adult,Relief of cold and allergy symptoms
Advil Congestion Relief,"Nausea, stomach pain, drowsiness",Adult,Relief of nasal congestion
Advil Sinus Congestion & Pain,"Upset stomach, headache, dizziness, rash",Adult,Relief of sinus congestion and pain
Ala-Hist PE,"Drowsiness, dry mouth, blurred vision",Adult,Allergy relief and nasal congestion
Alka-Seltzer Plus-D Multi-Symptom Sinus & Cold Liquid Gels,"Upset stomach, drowsiness, headache",Adult,Relief of sinus and cold symptoms
Allergy Multi-Symptom,"Drowsiness, dry mouth, blurred vision",Adult,Relief of allergy symptoms and nasal congestion
Biotussin DAC,"Drowsiness, dizziness, dry mouth",Adult,Relief of cough and congestion
Bromatan Plus,"Nervousness, dizziness, increased heart rate",Adult,Relief of nasal congestion and cough
Bromax,"Nervousness, dizziness, increased heart rate",Adult,Relief of nasal congestion and cough
Camphor,"Skin irritation, allergic reactions",Adult,Topical treatment for itching and skin irritation
Capron DM,"Drowsiness, dry mouth, blurred vision",Adult,Relief of cough and nasal congestion
Children's Triacting Night Time,"Drowsiness, upset stomach, headache",Child,Relief of cough and cold symptoms in children
Children's Tylenol Cold Plus Cough,"Upset stomach, rash, allergic reactions",Child,Relief of cold symptoms and cough in children
